customer_id,nida,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,payment_type,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,source,session_length_in_minutes,device_os,keep_alive_session,device_distinct_emails_8w,device_fraud_count,month,fraud_bool
cust_15,nida_1015,0.353,0.172,350,151,60,33,82,type_5,-111,6118,4060,1483,13,emp_status_4,354,paid,house_4,0,17,0,1694,0,MOBILE,61,Linux,0,2,1,11,0
cust_16,nida_1016,0.133,0.271,200,51,40,69,78,type_1,4767,1862,5443,490,10,emp_status_7,-47,paid,house_4,1,12,0,517,0,MOBILE,57,Windows,1,3,0,10,0
cust_17,nida_1017,0.326,0.286,166,396,40,68,56,type_4,9293,3147,5674,564,8,emp_status_3,224,paid,house_1,1,1,0,711,0,INTERNET,95,Windows,1,0,0,4,0
cust_18,nida_1018,0.166,0.271,100,109,20,50,32,type_2,10777,3670,3987,167,23,emp_status_4,44,paid,house_4,1,12,0,218,1,INTERNET,26,Macintosh,1,2,1,5,1
cust_19,nida_1019,0.208,0.855,84,202,30,28,78,type_3,14320,8023,3081,758,9,emp_status_6,260,paid,house_4,1,19,0,1636,1,MOBILE,72,Windows,1,2,1,6,0
cust_20,nida_1020,0.263,0.032,140,110,60,47,76,type_5,6323,6335,3534,1197,37,emp_status_5,223,free,house_2,1,9,1,606,0,MOBILE,36,Other,1,0,0,7,0
cust_21,nida_1021,0.39,0.076,335,323,50,78,51,type_5,20877,5874,7038,1904,42,emp_status_2,-64,paid,house_3,1,8,0,1168,0,INTERNET,16,Linux,1,3,1,5,0
cust_22,nida_1022,0.154,0.274,211,256,40,78,26,type_5,16622,8556,4005,1173,40,emp_status_7,275,paid,house_3,1,13,1,1625,1,MOBILE,60,X11,1,3,1,7,1
cust_23,nida_1023,0.306,0.2,49,14,30,15,16,type_1,11420,6236,4012,2296,36,emp_status_2,378,free,house_3,1,28,0,1062,0,MOBILE,75,Linux,1,0,0,12,0
cust_24,nida_1024,0.203,0.232,110,348,40,56,24,type_1,11482,9307,6296,1650,41,emp_status_3,41,free,house_3,1,15,0,300,0,MOBILE,83,Windows,0,2,0,2,0
cust_25,nida_1025,0.184,0.798,269,164,30,9,100,type_1,2956,5814,3676,179,31,emp_status_3,-119,free,house_1,1,27,0,792,0,INTERNET,95,Other,1,3,0,7,0
cust_26,nida_1026,0.368,0.563,63,299,60,18,5,type_3,5169,2564,6089,27,19,emp_status_6,-64,paid,house_7,1,15,1,894,0,MOBILE,21,Linux,1,0,0,5,0
cust_27,nida_1027,0.202,0.006,342,380,60,66,43,type_2,13612,8984,6141,1844,13,emp_status_4,-55,free,house_2,1,31,0,217,0,MOBILE,63,Macintosh,0,0,1,10,1
cust_28,nida_1028,0.186,0.429,181,278,60,35,96,type_5,24485,2474,5198,2164,37,emp_status_6,231,free,house_1,1,19,0,1378,1,INTERNET,106,Other,1,0,1,5,1
cust_29,nida_1029,0.284,0.408,330,369,20,3,43,type_4,11418,8749,5688,261,3,emp_status_1,283,free,house_6,1,12,0,328,0,INTERNET,38,Linux,1,3,0,11,0
cust_30,nida_1030,0.1,0.114,8,156,30,74,69,type_5,3645,2804,4233,196,23,emp_status_3,-92,free,house_6,1,8,0,1191,0,INTERNET,58,Windows,1,1,0,6,0
cust_31,nida_1031,0.208,0.676,232,247,50,32,95,type_5,864,4250,5106,1460,31,emp_status_7,223,free,house_4,1,21,0,1538,0,INTERNET,83,Macintosh,1,1,0,12,0
cust_32,nida_1032,0.31,0.702,296,377,50,27,33,type_5,15544,7008,5142,1662,9,emp_status_7,179,free,house_2,1,12,0,565,0,INTERNET,3,Windows,1,1,0,9,0
cust_33,nida_1033,0.044,0.721,242,179,60,8,50,type_5,20586,9025,4791,1433,42,emp_status_3,-78,free,house_5,1,20,0,661,0,MOBILE,97,Windows,1,1,0,4,0
cust_34,nida_1034,0.125,0.728,349,189,50,74,101,type_2,10703,6744,3879,332,15,emp_status_3,344,free,house_3,1,26,0,1384,0,INTERNET,16,Macintosh,0,1,0,5,0
cust_35,nida_1035,0.211,0.0,265,137,40,5,19,type_4,490,6267,3594,1181,38,emp_status_6,341,paid,house_6,1,7,0,1854,0,MOBILE,36,Other,1,2,1,5,0
cust_36,nida_1036,0.358,0.954,116,76,30,48,26,type_1,3137,2933,7025,1775,31,emp_status_7,-69,paid,house_6,1,21,1,1134,0,MOBILE,98,Linux,1,0,0,3,0
cust_37,nida_1037,0.652,0.814,142,405,30,75,94,type_4,7974,6376,4099,78,17,emp_status_6,-25,free,house_4,1,5,0,1599,0,INTERNET,27,Other,1,1,1,3,0
cust_38,nida_1038,0.162,0.904,379,371,30,21,42,type_5,6625,9504,5113,1867,24,emp_status_4,-150,paid,house_3,1,22,1,531,1,INTERNET,24,Macintosh,1,3,0,12,0
cust_39,nida_1039,0.069,0.016,199,334,40,47,78,type_4,13093,8948,3811,1892,6,emp_status_5,-58,paid,house_3,0,7,0,884,0,MOBILE,58,Linux,0,0,1,1,0
cust_40,nida_1040,0.077,0.934,237,48,20,20,54,type_5,24385,7446,3934,196,17,emp_status_3,-77,paid,house_3,1,5,0,1888,0,MOBILE,34,Macintosh,1,3,0,4,0
cust_41,nida_1041,0.174,0.81,332,83,40,32,8,type_4,10427,9258,3879,1783,17,emp_status_5,-174,free,house_7,1,21,0,1110,0,INTERNET,100,X11,0,3,1,9,0
cust_42,nida_1042,0.543,0.837,244,181,30,55,21,type_3,22007,3165,5564,225,2,emp_status_6,152,free,house_6,1,23,0,219,0,MOBILE,80,X11,1,3,1,2,0
cust_43,nida_1043,0.062,0.093,344,181,30,28,46,type_4,2038,7233,3775,1561,0,emp_status_4,352,paid,house_5,0,20,0,745,0,MOBILE,27,Other,0,2,0,10,0
cust_44,nida_1044,0.236,0.739,6,2,30,52,50,type_1,10494,7805,4214,734,32,emp_status_6,-71,free,house_4,1,5,0,771,0,MOBILE,29,Macintosh,1,3,0,4,0
cust_45,nida_1045,0.313,0.96,150,315,50,39,13,type_1,19395,8602,5324,1362,6,emp_status_1,53,paid,house_3,1,4,0,661,0,INTERNET,61,Linux,0,0,0,9,0
cust_46,nida_1046,0.153,0.679,209,109,20,73,53,type_4,21164,2711,6479,1579,9,emp_status_7,127,free,house_3,1,20,0,1381,0,INTERNET,104,Other,1,0,0,9,0
cust_47,nida_1047,0.387,0.571,365,332,40,17,41,type_4,9163,4729,3132,1619,7,emp_status_2,0,paid,house_2,0,31,0,1587,0,MOBILE,11,X11,1,2,0,8,0
cust_48,nida_1048,0.485,0.946,156,337,30,46,48,type_2,7907,9385,5097,2042,31,emp_status_2,-93,free,house_3,1,19,0,1108,0,INTERNET,92,X11,1,2,1,2,0
cust_49,nida_1049,0.096,0.443,56,249,60,12,4,type_4,2340,3533,3517,219,22,emp_status_6,86,free,house_2,0,9,0,1941,0,MOBILE,69,X11,1,0,0,11,0
cust_50,nida_1050,0.366,0.599,84,131,20,26,31,type_1,24430,4673,5298,2340,16,emp_status_2,19,paid,house_4,1,11,0,804,0,INTERNET,38,Other,1,0,1,3,0
cust_51,nida_1051,0.298,0.476,53,98,60,61,60,type_3,24275,4343,2833,1227,13,emp_status_2,72,paid,house_4,1,1,0,1953,0,INTERNET,68,Linux,1,3,1,6,0
cust_52,nida_1052,0.224,0.933,199,400,20,73,53,type_1,12339,9248,4863,1728,16,emp_status_4,205,paid,house_4,1,11,0,522,1,INTERNET,0,X11,1,3,0,2,0
cust_53,nida_1053,0.164,0.076,120,170,30,44,37,type_2,2003,2957,3678,201,24,emp_status_2,281,paid,house_2,1,26,0,288,0,INTERNET,6,Other,1,2,0,3,0
cust_54,nida_1054,0.461,0.501,106,285,20,2,10,type_4,8323,8093,4881,1889,20,emp_status_4,232,free,house_6,1,30,0,372,0,INTERNET,72,Other,1,1,0,1,0
cust_55,nida_1055,0.098,0.687,302,117,20,21,98,type_3,16890,7074,3302,2079,5,emp_status_1,-96,free,house_6,1,21,0,239,0,MOBILE,106,Windows,1,3,0,4,0
cust_56,nida_1056,0.179,0.792,130,348,30,26,29,type_1,2249,2619,3241,1713,19,emp_status_3,235,paid,house_7,1,22,0,1133,0,INTERNET,41,Windows,1,3,1,11,0
cust_57,nida_1057,0.343,0.583,196,403,60,54,72,type_3,11717,8339,4280,752,19,emp_status_3,29,paid,house_5,1,-1,0,402,0,INTERNET,47,Linux,1,1,1,6,0
cust_58,nida_1058,0.275,0.909,45,173,60,66,51,type_5,3044,3915,6655,1016,25,emp_status_3,211,free,house_7,1,22,1,1956,0,INTERNET,20,X11,0,3,1,1,0
cust_59,nida_1059,0.443,0.942,226,28,50,32,32,type_1,21963,7452,3494,114,31,emp_status_7,222,free,house_5,1,1,0,1782,0,INTERNET,72,Windows,1,1,1,12,0
cust_60,nida_1060,0.133,0.064,243,53,60,1,39,type_5,5123,6259,6076,1245,7,emp_status_4,-169,free,house_7,1,15,0,442,0,MOBILE,33,Linux,1,1,0,1,0
cust_61,nida_1061,0.401,0.402,201,359,60,74,8,type_3,12070,3879,5558,2229,28,emp_status_4,340,free,house_6,1,5,0,1729,0,MOBILE,17,Windows,1,0,1,8,0
cust_62,nida_1062,0.323,0.023,259,194,20,45,50,type_4,6619,2284,6390,468,16,emp_status_4,273,paid,house_7,1,8,1,287,0,MOBILE,2,X11,1,1,0,7,0
cust_63,nida_1063,0.292,0.329,176,39,50,73,73,type_4,7543,3326,3767,425,17,emp_status_1,299,paid,house_6,1,17,1,1892,0,MOBILE,17,Other,1,1,1,7,0
cust_64,nida_1064,0.114,0.537,22,171,30,32,55,type_4,6729,8312,4607,1575,39,emp_status_5,165,free,house_3,1,22,0,873,0,INTERNET,103,X11,1,2,1,7,0
cust_65,nida_1065,0.342,0.911,173,328,30,57,76,type_5,10511,8458,2990,1865,17,emp_status_4,-104,free,house_4,1,7,0,731,0,INTERNET,18,Windows,0,2,1,5,0
cust_66,nida_1066,0.17,0.847,272,217,40,6,1,type_4,3421,3459,5925,833,10,emp_status_4,-56,paid,house_6,1,13,0,859,1,INTERNET,2,X11,0,2,1,4,1
cust_67,nida_1067,0.801,0.127,338,206,50,14,55,type_2,15818,8538,3532,2028,11,emp_status_3,125,paid,house_1,0,20,0,912,0,INTERNET,47,Other,1,3,0,7,0
cust_68,nida_1068,0.132,0.093,259,156,20,25,31,type_1,-197,7628,6529,10,14,emp_status_6,57,free,house_6,1,15,0,1374,0,MOBILE,24,Macintosh,1,2,0,11,0
cust_69,nida_1069,0.125,0.589,284,331,40,10,5,type_1,11370,5069,6468,1408,25,emp_status_7,-111,paid,house_3,1,17,0,1323,0,INTERNET,1,Other,1,0,1,3,0
cust_70,nida_1070,0.337,0.532,-1,226,40,37,2,type_3,13946,3829,6001,2089,2,emp_status_2,53,paid,house_6,1,7,0,446,0,INTERNET,50,Windows,1,0,0,9,0
cust_71,nida_1071,0.034,0.266,84,83,30,26,37,type_5,11295,8780,3214,1725,2,emp_status_2,366,free,house_5,0,17,1,824,0,INTERNET,92,Other,1,0,1,2,0
cust_72,nida_1072,0.159,0.899,336,171,60,6,46,type_1,7997,6636,4680,2170,37,emp_status_1,-126,paid,house_5,1,6,1,930,0,INTERNET,34,Linux,1,3,1,1,0
cust_73,nida_1073,0.262,0.927,67,243,20,0,72,type_5,9760,8096,6958,2299,34,emp_status_2,152,free,house_7,1,4,0,1760,0,INTERNET,39,X11,1,1,1,8,0
cust_74,nida_1074,0.249,0.403,29,358,50,73,77,type_3,18122,2826,4014,972,8,emp_status_5,210,free,house_4,0,19,1,1184,0,INTERNET,68,Macintosh,1,1,0,6,0
cust_75,nida_1075,0.069,0.89,196,171,40,20,14,type_4,8061,4473,3557,603,42,emp_status_3,-139,free,house_2,1,27,0,695,0,INTERNET,49,Macintosh,1,0,1,4,0
cust_76,nida_1076,0.46,0.384,89,333,20,78,36,type_3,22972,9354,6631,212,39,emp_status_1,-4,paid,house_3,1,10,0,1512,0,INTERNET,101,X11,1,1,0,10,0
cust_77,nida_1077,0.541,0.737,347,210,30,29,2,type_2,22752,1621,4739,2315,3,emp_status_2,316,paid,house_2,1,30,0,614,0,INTERNET,89,X11,1,1,1,9,0
cust_78,nida_1078,0.261,0.476,14,82,40,7,2,type_4,2868,4133,4585,539,19,emp_status_2,278,paid,house_5,1,4,1,1169,0,INTERNET,14,Linux,0,1,0,5,0
cust_79,nida_1079,0.068,0.123,308,171,40,2,98,type_4,7916,8933,6009,705,14,emp_status_6,-136,free,house_7,1,15,0,814,0,INTERNET,45,Other,0,3,1,11,1
cust_80,nida_1080,0.047,0.928,274,181,30,54,25,type_4,8999,8468,4503,1758,28,emp_status_3,-48,paid,house_4,0,30,1,278,0,MOBILE,78,Macintosh,1,1,1,1,0
cust_81,nida_1081,0.127,0.454,336,131,30,14,84,type_3,14803,9157,2964,1684,4,emp_status_1,-123,paid,house_5,1,6,0,1608,0,MOBILE,44,Windows,0,1,0,1,0
cust_82,nida_1082,0.327,0.734,160,378,30,35,84,type_2,15435,7532,4273,1158,38,emp_status_3,-91,free,house_4,1,27,1,1661,0,MOBILE,98,X11,0,3,1,7,0
cust_83,nida_1083,0.119,0.367,190,286,20,5,15,type_5,17997,2950,4758,497,39,emp_status_1,92,paid,house_6,1,29,1,727,0,INTERNET,53,X11,0,2,1,1,0
cust_84,nida_1084,0.108,0.019,149,260,20,41,107,type_3,22502,9200,6832,781,6,emp_status_7,119,paid,house_1,1,17,1,1564,0,MOBILE,96,Macintosh,1,0,1,6,0
cust_85,nida_1085,0.325,0.101,363,348,20,49,96,type_1,3653,5343,3024,1909,7,emp_status_7,-156,free,house_2,1,7,1,1282,0,MOBILE,101,X11,1,3,1,7,0
cust_86,nida_1086,0.219,0.496,111,280,60,17,94,type_1,10450,4834,6826,125,31,emp_status_2,38,paid,house_3,1,26,0,905,1,INTERNET,86,Macintosh,1,3,1,11,1
cust_87,nida_1087,0.305,0.69,271,291,40,49,68,type_3,18686,4014,3162,1526,35,emp_status_3,248,paid,house_4,0,29,0,836,1,MOBILE,37,Windows,0,0,0,10,0
cust_88,nida_1088,0.404,0.335,174,267,20,29,52,type_5,10111,1356,3063,840,32,emp_status_3,12,paid,house_6,1,17,0,1098,0,INTERNET,4,Windows,0,1,0,5,0
cust_89,nida_1089,0.184,0.695,147,347,60,76,95,type_1,6499,1594,6773,982,36,emp_status_5,-16,paid,house_6,1,31,0,1110,1,INTERNET,82,Macintosh,1,1,0,3,0
cust_90,nida_1090,0.234,0.699,176,195,40,38,6,type_5,8305,8434,3078,1341,31,emp_status_7,364,paid,house_7,1,24,1,743,0,MOBILE,59,X11,1,3,1,3,0
cust_91,nida_1091,0.175,0.704,380,23,20,11,51,type_4,19663,8235,3679,11,42,emp_status_6,204,paid,house_7,1,-1,0,1215,0,INTERNET,7,Linux,1,2,0,12,0
cust_92,nida_1092,0.267,0.493,221,139,30,58,98,type_3,14175,6404,4238,1500,35,emp_status_3,67,free,house_1,1,9,1,889,0,MOBILE,83,Linux,0,0,1,2,0
cust_93,nida_1093,0.239,0.915,257,221,50,75,3,type_4,13127,7148,5700,1317,33,emp_status_1,6,free,house_6,0,0,1,418,0,INTERNET,9,Other,0,2,1,11,0
cust_94,nida_1094,0.326,0.489,271,18,20,43,67,type_1,22298,2139,5312,1463,24,emp_status_5,367,free,house_6,1,11,0,1323,0,MOBILE,92,Linux,1,3,0,12,0
cust_95,nida_1095,0.443,0.45,187,245,50,3,45,type_5,15105,6005,3584,1830,31,emp_status_3,371,paid,house_1,1,30,0,1194,0,INTERNET,63,X11,1,2,1,12,0
cust_96,nida_1096,0.386,0.199,304,326,20,35,72,type_4,24252,4719,5007,515,1,emp_status_3,-84,free,house_2,1,10,0,302,0,MOBILE,89,Linux,0,3,0,1,0
cust_97,nida_1097,0.096,0.308,376,199,30,47,38,type_1,9992,1939,4700,2363,8,emp_status_5,191,free,house_6,1,31,1,1083,0,MOBILE,57,Other,1,0,0,11,0
cust_98,nida_1098,0.209,0.042,88,403,50,13,5,type_2,4677,5875,5166,1703,37,emp_status_2,-18,free,house_4,1,16,0,829,0,INTERNET,68,Windows,1,2,1,8,1
cust_99,nida_1099,0.166,0.634,341,113,60,48,10,type_4,11114,6356,5317,1147,28,emp_status_3,221,paid,house_3,1,3,0,954,0,INTERNET,105,Macintosh,0,2,0,9,0
cust_100,nida_1100,0.227,0.249,260,381,30,66,92,type_2,18877,7053,4775,2361,37,emp_status_4,3,free,house_3,0,17,0,1342,0,INTERNET,5,Linux,1,0,0,2,0
cust_101,nida_1101,0.476,0.304,154,187,50,76,23,type_2,9175,1531,5282,1548,17,emp_status_6,261,paid,house_3,1,29,0,206,0,MOBILE,59,Macintosh,0,0,1,4,0
cust_102,nida_1102,0.116,0.771,198,24,50,8,26,type_1,15434,1730,2883,2086,21,emp_status_2,196,free,house_5,1,25,0,587,0,INTERNET,55,Macintosh,0,3,0,3,0
cust_103,nida_1103,0.172,0.327,53,52,30,20,41,type_3,6049,3356,3217,2300,34,emp_status_3,129,free,house_7,1,13,1,1701,0,INTERNET,84,Windows,1,3,0,4,0
cust_104,nida_1104,0.241,0.242,252,168,30,71,75,type_5,11056,1507,4300,2350,14,emp_status_2,202,free,house_5,1,2,0,1745,1,INTERNET,32,Other,1,3,1,4,1
cust_105,nida_1105,0.197,0.169,171,393,30,15,45,type_1,15208,7146,4130,978,6,emp_status_1,41,free,house_4,1,17,0,1027,0,INTERNET,82,X11,1,3,0,8,0
cust_106,nida_1106,0.155,0.775,198,379,40,15,47,type_4,20770,3308,5477,2305,12,emp_status_2,152,paid,house_7,1,19,0,1504,0,INTERNET,43,X11,1,3,1,11,0
cust_107,nida_1107,0.302,0.13,100,9,60,27,84,type_5,12875,8514,6391,2006,41,emp_status_5,166,free,house_6,1,-1,0,241,0,MOBILE,43,X11,1,0,1,3,0
cust_108,nida_1108,0.263,0.454,283,25,20,50,52,type_3,2693,5313,3287,1846,35,emp_status_3,-14,free,house_6,1,18,0,1782,0,MOBILE,13,Other,1,2,0,3,0
cust_109,nida_1109,0.178,0.507,149,348,50,55,16,type_1,11281,6994,4053,2508,15,emp_status_2,-19,free,house_7,1,20,0,295,0,MOBILE,7,Other,1,1,1,12,0
cust_110,nida_1110,0.071,0.687,109,81,20,56,25,type_3,912,6350,5601,223,40,emp_status_4,-67,paid,house_3,1,11,0,1727,0,MOBILE,80,Other,0,1,1,6,0
cust_111,nida_1111,0.368,0.633,264,288,30,51,70,type_4,13219,6851,2842,2139,20,emp_status_1,173,free,house_1,1,-1,0,445,0,MOBILE,44,Linux,0,3,0,11,0
cust_112,nida_1112,0.165,0.811,89,36,60,45,4,type_1,14788,6841,6700,279,27,emp_status_1,188,free,house_6,1,13,0,1447,0,INTERNET,44,Macintosh,1,1,1,3,0
cust_113,nida_1113,0.646,0.045,175,85,60,77,73,type_4,23108,4312,3638,1193,9,emp_status_7,-162,paid,house_3,0,13,0,313,1,INTERNET,34,Other,1,2,1,5,1
cust_114,nida_1114,0.503,0.296,229,319,40,37,91,type_5,20489,5611,5606,1819,18,emp_status_2,-24,paid,house_4,1,12,0,743,0,INTERNET,44,Other,1,2,0,4,0
cust_115,nida_1115,0.409,0.28,27,385,30,47,103,type_5,18443,6857,4326,1757,16,emp_status_5,355,free,house_3,1,3,1,529,0,INTERNET,40,Linux,1,3,0,11,0
cust_116,nida_1116,0.378,0.146,299,154,50,40,67,type_3,18897,9317,4855,2045,0,emp_status_1,223,free,house_2,1,4,0,1726,0,INTERNET,28,Macintosh,1,1,1,4,0
cust_117,nida_1117,0.481,0.289,193,396,40,58,69,type_3,7910,8604,3215,247,12,emp_status_7,-125,free,house_3,1,29,0,1376,0,MOBILE,9,X11,1,0,1,2,0
cust_118,nida_1118,0.45,0.31,305,306,30,66,20,type_5,23844,4116,6436,1384,35,emp_status_2,292,free,house_6,1,24,1,1440,0,MOBILE,31,Windows,1,0,0,9,0
cust_119,nida_1119,0.315,0.522,237,284,40,73,57,type_2,18431,5955,3541,1372,41,emp_status_2,144,paid,house_7,1,23,0,1712,0,MOBILE,38,Other,1,3,1,5,0
cust_120,nida_1120,0.346,0.664,355,184,20,65,45,type_5,20035,7890,3514,2125,19,emp_status_1,190,free,house_6,1,13,0,1981,0,INTERNET,68,Other,1,2,0,5,0
cust_121,nida_1121,0.539,0.381,265,180,30,26,66,type_1,3435,7681,6443,2505,40,emp_status_2,309,free,house_1,1,4,0,471,0,INTERNET,41,Windows,0,1,1,7,0
cust_122,nida_1122,0.306,0.719,212,367,50,31,30,type_4,12962,6137,6873,44,39,emp_status_2,-161,free,house_4,1,-1,0,1623,1,MOBILE,37,Other,1,2,1,12,1
cust_123,nida_1123,0.146,0.336,80,141,50,55,81,type_5,6814,7217,4357,2085,5,emp_status_6,234,paid,house_7,1,5,0,1573,1,INTERNET,84,Other,0,3,1,3,1
cust_124,nida_1124,0.452,0.29,126,204,30,9,107,type_5,12338,7066,6508,415,22,emp_status_4,97,paid,house_7,1,2,1,1645,0,INTERNET,37,Other,0,2,1,12,0
cust_125,nida_1125,0.36,0.541,260,140,40,39,95,type_4,14642,3687,3855,2292,41,emp_status_2,129,free,house_7,1,-1,0,460,1,MOBILE,51,Windows,1,1,1,6,1
cust_126,nida_1126,0.062,0.024,65,183,60,16,-1,type_4,17444,6719,5059,2370,23,emp_status_6,-85,paid,house_4,1,0,0,1742,0,INTERNET,81,Linux,0,2,1,1,0
cust_127,nida_1127,0.233,0.08,60,239,30,57,52,type_1,8778,5545,4609,1275,4,emp_status_6,281,free,house_1,1,11,0,916,0,MOBILE,84,Linux,0,3,0,5,0
cust_128,nida_1128,0.192,0.418,131,6,50,5,44,type_4,11115,1735,4677,2515,31,emp_status_2,93,free,house_4,1,15,1,463,0,INTERNET,29,Windows,0,0,1,5,0
cust_129,nida_1129,0.52,0.943,135,70,20,38,39,type_3,3252,5669,3452,1084,16,emp_status_5,-125,paid,house_3,1,8,0,1000,0,MOBILE,104,Linux,1,0,1,9,0
cust_130,nida_1130,0.22,0.722,26,401,50,17,106,type_5,14177,1394,3327,1142,10,emp_status_1,-56,paid,house_4,1,1,1,517,0,INTERNET,61,X11,0,1,1,12,0
cust_131,nida_1131,0.138,0.088,209,286,60,72,39,type_4,13864,1556,3715,86,26,emp_status_6,-127,paid,house_3,1,2,0,1937,0,INTERNET,23,X11,0,3,0,5,0
cust_132,nida_1132,0.472,0.846,203,93,50,71,6,type_1,10336,3513,6923,2127,3,emp_status_6,298,free,house_4,1,23,0,1339,0,INTERNET,39,Windows,1,3,1,8,0
cust_133,nida_1133,0.159,0.732,251,155,60,41,30,type_4,4730,8129,3674,227,22,emp_status_7,315,paid,house_6,1,27,0,1435,0,INTERNET,48,Macintosh,1,2,0,3,0
cust_134,nida_1134,0.06,0.611,36,39,30,3,28,type_5,15799,9080,5348,1838,22,emp_status_5,203,free,house_3,1,-1,1,359,0,INTERNET,57,Other,1,0,1,12,0
cust_135,nida_1135,0.341,0.82,41,329,50,19,44,type_2,686,7152,4866,622,33,emp_status_3,210,paid,house_3,1,28,0,676,0,MOBILE,47,Macintosh,1,1,0,11,0
cust_136,nida_1136,0.307,0.404,115,299,40,27,90,type_4,8033,2509,3692,1606,20,emp_status_5,112,free,house_6,1,8,1,840,0,MOBILE,28,Other,1,1,1,6,0
cust_137,nida_1137,0.279,0.222,188,267,40,39,103,type_3,394,2430,3955,484,21,emp_status_7,277,free,house_1,1,27,0,1058,0,INTERNET,43,Linux,1,1,1,2,0
cust_138,nida_1138,0.329,0.512,44,153,50,64,50,type_5,3466,3428,6052,24,0,emp_status_3,194,free,house_1,1,30,1,347,0,INTERNET,66,Linux,1,2,1,9,0
cust_139,nida_1139,0.406,0.549,164,273,50,43,94,type_1,4336,1842,7021,1814,31,emp_status_3,7,paid,house_6,0,-1,1,1670,1,INTERNET,51,X11,1,3,1,6,1
cust_140,nida_1140,0.323,0.538,303,152,20,22,87,type_5,8441,3161,4301,1225,27,emp_status_5,28,paid,house_5,1,15,0,1301,0,INTERNET,24,Macintosh,0,1,1,5,0
cust_141,nida_1141,0.181,0.565,201,51,50,56,96,type_2,16947,8466,5581,1248,17,emp_status_4,-5,paid,house_1,0,10,1,1174,0,MOBILE,69,Windows,1,2,1,9,0
