customer_id,nida,age,married,education,dependents,employment_status,spouse_employment_status,monthly_income,residense_status,vehicle_ownership_status,vehicle_cat,credit_history_length_months,payment_history_score,total_outstanding_debt,credit_utilization_ratio,number_of_late_payments_36,active_loans,avg_monthly_balance,savings_account_balance,requested_amount,loan_purpose,previous_collateral_value,debt_to_income_ratio,risk_category_target
cust_40,nida_1040,62,YES,Graduate,3,Employed,Unemployed,93820.28,Rented,YES,Car,104,810,38332.95,0.58,0,4,59206.45,41044.15,94054.94,Education,192416.08,0.22,LOW
cust_41,nida_1041,35,YES,Graduate,0,Employed,Not Applicable,66059.92,Owned,NO,None,19,845,26850.89,0.88,1,2,27230.72,56310.93,8843.01,Personal,1329.76,0.32,MEDIUM
cust_42,nida_1042,38,NO,Post-Graduate,3,Unemployed,Unemployed,143616.95,Owned,NO,None,13,483,43032.55,0.86,1,2,66172.79,51329.63,81914.26,Business,27309.68,0.13,LOW
cust_43,nida_1043,29,YES,Undergraduate,1,Self-Employed,Unemployed,54135.53,Owned,NO,Car,169,485,9907.09,0.56,2,3,25117.08,176088.19,73257.3,Education,157165.05,0.2,MEDIUM
cust_44,nida_1044,44,NO,Undergraduate,2,Self-Employed,Employed,25199.73,Owned,YES,Car,35,638,39198.49,0.48,2,1,25063.07,194668.77,70166.97,Personal,221127.45,0.53,HIGH
cust_45,nida_1045,59,YES,Graduate,3,Unemployed,Not Applicable,22297.89,Owned,NO,Motorcycle,173,495,19782.64,0.71,4,4,8539.35,75211.11,92115.9,Education,68787.01,0.41,HIGH
cust_46,nida_1046,41,YES,Post-Graduate,3,Unemployed,Employed,67901.56,Owned,NO,Motorcycle,92,685,39728.82,0.52,8,1,30091.89,130625.19,44146.05,Business,208630.16,0.49,MEDIUM
cust_47,nida_1047,32,YES,Undergraduate,0,Employed,Not Applicable,81280.29,Owned,NO,Car,86,827,49597.29,0.54,9,4,41292.06,57428.19,48888.8,Home,143637.05,0.4,MEDIUM
cust_48,nida_1048,22,NO,Post-Graduate,3,Unemployed,Employed,137127.9,Rented,YES,Motorcycle,145,845,3390.01,0.28,9,3,51343.19,134670.73,46577.5,Home,86605.04,0.25,LOW
cust_49,nida_1049,58,NO,Post-Graduate,4,Employed,Unemployed,41132.28,Owned,NO,Motorcycle,174,708,37768.36,0.68,4,4,10935.08,83151.12,39915.11,Personal,160665.99,0.57,HIGH
cust_50,nida_1050,33,YES,Undergraduate,3,Employed,Unemployed,107556.63,Owned,YES,Motorcycle,186,622,7147.2,0.14,6,0,50121.58,78775.95,33345.4,Personal,148172.76,0.35,MEDIUM
cust_51,nida_1051,27,YES,Post-Graduate,0,Employed,Not Applicable,65286.29,Rented,NO,None,193,480,15945.69,0.86,6,2,25089.81,2178.94,42008.2,Education,60868.41,0.12,MEDIUM
cust_52,nida_1052,40,NO,Graduate,4,Employed,Employed,99582.7,Owned,YES,Motorcycle,222,308,29449.57,0.94,5,3,1423.46,85544.55,57214.21,Home,58436.35,0.41,MEDIUM
cust_53,nida_1053,64,YES,Undergraduate,1,Employed,Unemployed,29660.73,Owned,YES,None,123,569,6603.06,0.38,1,0,60024.84,68334.68,19286.3,Personal,131320.91,0.56,HIGH
cust_54,nida_1054,64,YES,Post-Graduate,2,Self-Employed,Unemployed,55872.62,Rented,NO,Car,9,700,28567.35,0.14,7,3,63529.63,16360.92,85253.32,Business,174947.06,0.56,MEDIUM
cust_55,nida_1055,61,YES,Undergraduate,2,Unemployed,Not Applicable,72222.69,Rented,YES,Motorcycle,234,831,17132.43,0.65,9,2,7328.89,159863.46,69764.81,Home,162334.07,0.18,LOW
cust_56,nida_1056,32,YES,Undergraduate,3,Self-Employed,Not Applicable,103159.56,Owned,YES,Car,215,570,47563.01,0.88,8,3,34415.21,116747.38,33079.48,Education,48174.81,0.43,MEDIUM
cust_57,nida_1057,63,NO,Undergraduate,1,Unemployed,Unemployed,85838.82,Owned,NO,None,95,356,44769.7,0.64,0,2,14328.32,40860.07,47990.66,Business,4635.05,0.54,HIGH
cust_58,nida_1058,60,NO,Undergraduate,4,Self-Employed,Unemployed,107640.82,Rented,YES,Car,234,533,7551.0,0.58,0,1,31390.46,30168.69,25217.56,Personal,202042.88,0.11,LOW
cust_59,nida_1059,63,YES,Post-Graduate,1,Unemployed,Employed,29571.61,Owned,YES,None,47,589,24764.08,0.9,7,1,21969.95,116251.29,44145.98,Education,166459.08,0.28,MEDIUM
cust_60,nida_1060,46,YES,Undergraduate,1,Unemployed,Unemployed,22027.65,Owned,YES,None,118,785,42807.14,0.27,8,0,20414.06,45455.68,73470.08,Home,85561.49,0.58,HIGH
cust_61,nida_1061,55,YES,Post-Graduate,3,Self-Employed,Unemployed,35145.67,Owned,NO,Motorcycle,200,765,33361.19,0.88,0,2,37107.19,36445.61,86599.08,Education,64133.57,0.21,MEDIUM
cust_62,nida_1062,54,YES,Undergraduate,2,Self-Employed,Unemployed,139942.69,Rented,YES,Car,31,464,32563.4,0.81,8,1,67444.82,35721.49,37671.98,Education,182617.25,0.36,MEDIUM
cust_63,nida_1063,43,YES,Undergraduate,3,Employed,Unemployed,39201.59,Owned,NO,None,18,749,30392.14,0.46,6,0,68919.07,113781.96,96186.66,Home,223149.16,0.39,MEDIUM
cust_64,nida_1064,52,YES,Graduate,4,Unemployed,Unemployed,126774.39,Rented,YES,Motorcycle,8,433,153.98,0.5,6,3,47839.09,72761.47,51448.68,Business,18565.57,0.19,MEDIUM
cust_65,nida_1065,30,NO,Post-Graduate,3,Unemployed,Not Applicable,87498.18,Rented,NO,Motorcycle,111,787,8582.17,0.49,7,1,10449.6,139970.69,70847.31,Business,201294.05,0.28,LOW
cust_66,nida_1066,46,YES,Post-Graduate,0,Employed,Not Applicable,76664.61,Owned,NO,Car,177,709,28108.9,0.22,9,3,38127.01,102367.32,57644.15,Home,87421.74,0.22,MEDIUM
cust_67,nida_1067,24,NO,Undergraduate,1,Employed,Unemployed,99655.45,Rented,YES,Motorcycle,30,806,35923.94,0.71,1,4,56766.55,162552.49,83568.48,Home,157075.96,0.36,LOW
cust_68,nida_1068,32,YES,Graduate,4,Unemployed,Unemployed,45611.92,Rented,NO,Car,81,832,46624.2,0.18,7,0,74467.89,43556.07,20686.04,Education,9260.85,0.43,MEDIUM
cust_69,nida_1069,52,NO,Post-Graduate,4,Unemployed,Employed,80454.94,Owned,NO,Car,89,643,13619.09,0.84,5,0,19137.9,146225.91,50253.5,Home,235800.51,0.45,MEDIUM
cust_70,nida_1070,24,YES,Graduate,2,Employed,Employed,143282.49,Owned,NO,Car,120,384,47523.75,0.45,8,2,27088.31,87568.54,17714.6,Home,239890.33,0.36,MEDIUM
cust_71,nida_1071,37,YES,Undergraduate,1,Employed,Unemployed,77000.82,Owned,NO,None,187,352,43894.46,0.59,9,2,64908.12,62295.62,88824.67,Education,145018.04,0.57,HIGH
cust_72,nida_1072,32,YES,Undergraduate,4,Unemployed,Unemployed,74675.8,Rented,YES,None,121,448,37371.37,0.58,9,3,60450.44,141083.09,71250.78,Education,49186.39,0.18,MEDIUM
cust_73,nida_1073,52,YES,Post-Graduate,2,Self-Employed,Unemployed,47502.0,Rented,NO,Motorcycle,197,668,29682.81,0.12,9,4,55766.01,90528.37,87000.61,Education,43295.73,0.23,MEDIUM
cust_74,nida_1074,53,YES,Post-Graduate,1,Self-Employed,Not Applicable,52684.42,Rented,YES,None,91,588,25484.48,0.19,3,3,73718.69,88109.75,38960.17,Education,41946.74,0.38,MEDIUM
cust_75,nida_1075,44,YES,Graduate,3,Unemployed,Unemployed,58426.6,Owned,YES,None,137,646,45384.07,0.72,3,1,66880.19,107240.09,7772.78,Business,238165.67,0.28,MEDIUM
cust_76,nida_1076,60,YES,Post-Graduate,1,Employed,Not Applicable,119973.12,Rented,YES,None,120,416,27012.76,0.51,0,2,50807.73,715.74,36990.33,Home,155941.33,0.21,MEDIUM
cust_77,nida_1077,48,YES,Undergraduate,0,Unemployed,Employed,114028.78,Owned,NO,Motorcycle,120,539,26797.25,0.4,9,4,58225.83,97352.55,29719.86,Personal,38194.38,0.1,LOW
cust_78,nida_1078,44,YES,Post-Graduate,4,Unemployed,Not Applicable,105850.28,Owned,YES,None,58,465,17609.99,0.34,4,3,29345.2,172793.86,50311.68,Personal,158323.19,0.51,MEDIUM
cust_79,nida_1079,51,NO,Post-Graduate,2,Employed,Not Applicable,123142.48,Rented,YES,None,49,724,35139.23,0.66,9,0,68804.68,69668.19,51816.04,Business,203087.69,0.35,LOW
cust_80,nida_1080,28,YES,Post-Graduate,2,Unemployed,Unemployed,91111.22,Rented,NO,None,7,611,43189.96,0.15,6,1,70949.51,54051.9,85303.36,Education,5879.34,0.14,MEDIUM
cust_81,nida_1081,46,YES,Post-Graduate,2,Employed,Unemployed,90577.99,Rented,YES,Car,103,510,16525.03,0.4,9,3,13423.57,130908.15,35487.76,Home,173807.19,0.14,MEDIUM
cust_82,nida_1082,29,NO,Graduate,0,Unemployed,Unemployed,83276.29,Owned,YES,None,234,848,14724.41,0.25,6,3,53900.58,51496.61,55760.24,Education,28468.26,0.18,LOW
cust_83,nida_1083,46,NO,Graduate,0,Unemployed,Not Applicable,41174.59,Owned,NO,None,84,701,14977.6,0.12,3,2,45051.65,73331.69,27371.87,Education,217961.62,0.18,MEDIUM
cust_84,nida_1084,28,YES,Post-Graduate,0,Self-Employed,Unemployed,83811.6,Rented,YES,Motorcycle,58,686,37735.57,0.88,5,0,30874.14,171521.86,42586.85,Education,201133.96,0.38,MEDIUM
cust_85,nida_1085,26,NO,Undergraduate,1,Employed,Employed,58129.19,Owned,YES,Car,15,491,14011.39,0.13,5,4,34053.33,13175.03,20149.54,Business,38584.81,0.35,MEDIUM
cust_86,nida_1086,35,YES,Undergraduate,3,Self-Employed,Employed,34348.55,Rented,YES,Car,119,683,43222.74,0.19,7,3,31155.31,159553.84,57246.14,Personal,121706.21,0.22,MEDIUM
cust_87,nida_1087,44,NO,Graduate,2,Employed,Not Applicable,103210.49,Rented,NO,None,17,371,46450.84,0.23,9,4,34706.19,149578.65,98891.62,Education,147038.83,0.23,MEDIUM
cust_88,nida_1088,26,YES,Post-Graduate,1,Unemployed,Unemployed,48722.53,Owned,YES,Car,140,752,46949.79,0.91,6,3,69126.48,91422.89,86769.6,Home,68974.75,0.34,MEDIUM
cust_89,nida_1089,42,YES,Graduate,2,Employed,Not Applicable,52740.61,Owned,YES,None,112,779,34070.31,0.75,2,1,68632.45,125898.45,15636.41,Home,192442.52,0.43,MEDIUM
cust_90,nida_1090,43,YES,Graduate,2,Unemployed,Employed,136084.99,Owned,NO,None,166,670,26067.46,0.85,3,1,27889.62,75962.75,44566.26,Home,145830.97,0.56,MEDIUM
cust_91,nida_1091,34,NO,Graduate,4,Unemployed,Unemployed,78212.47,Rented,NO,Car,110,660,26524.82,0.71,6,0,46871.43,132087.33,60888.33,Education,20911.46,0.55,MEDIUM
cust_92,nida_1092,38,NO,Undergraduate,3,Unemployed,Not Applicable,50644.58,Rented,YES,Motorcycle,64,549,30120.42,0.56,6,3,41601.57,189633.15,98528.07,Personal,229520.77,0.4,HIGH
cust_93,nida_1093,26,YES,Post-Graduate,1,Employed,Employed,35691.67,Owned,YES,Motorcycle,149,415,49167.68,0.72,5,4,61812.11,133449.35,42065.21,Business,189303.83,0.17,HIGH
cust_94,nida_1094,30,YES,Post-Graduate,0,Employed,Not Applicable,105025.6,Rented,NO,None,19,659,36179.36,0.8,6,0,68201.38,194389.16,28335.68,Business,176166.15,0.29,MEDIUM
cust_95,nida_1095,54,YES,Undergraduate,1,Employed,Not Applicable,52862.1,Rented,YES,None,129,631,40553.41,0.46,1,2,70186.28,112689.95,25608.63,Home,249814.29,0.13,MEDIUM
cust_96,nida_1096,61,YES,Undergraduate,1,Unemployed,Unemployed,24754.66,Rented,NO,Car,22,560,6003.29,0.83,2,4,64074.66,167407.77,33787.12,Home,173632.6,0.38,HIGH
cust_97,nida_1097,60,NO,Undergraduate,3,Employed,Not Applicable,33661.37,Rented,YES,Car,113,390,4023.76,0.08,1,3,60058.84,164660.84,72474.46,Education,213594.64,0.11,HIGH
cust_98,nida_1098,38,NO,Post-Graduate,2,Employed,Not Applicable,144020.05,Owned,YES,None,207,668,13238.61,0.83,6,0,56432.62,172212.48,78705.12,Personal,4459.92,0.36,LOW
cust_99,nida_1099,32,NO,Undergraduate,0,Self-Employed,Unemployed,128531.47,Owned,YES,Motorcycle,238,557,8475.16,0.35,3,4,11970.7,78308.38,42296.44,Business,139495.8,0.13,LOW
cust_100,nida_1100,29,YES,Post-Graduate,3,Unemployed,Unemployed,137211.11,Owned,YES,Car,83,387,29025.83,0.35,9,3,65711.02,17260.44,43265.54,Personal,189951.54,0.32,MEDIUM
cust_101,nida_1101,30,NO,Undergraduate,3,Unemployed,Employed,112977.97,Rented,NO,Car,39,591,7370.58,0.59,0,3,26438.41,28240.03,58180.52,Education,148606.8,0.21,LOW
cust_102,nida_1102,58,NO,Undergraduate,3,Employed,Not Applicable,68614.81,Rented,NO,Motorcycle,117,833,45993.52,0.16,7,1,45671.45,59501.37,23108.12,Education,192407.58,0.24,LOW
cust_103,nida_1103,23,YES,Undergraduate,0,Employed,Unemployed,56450.54,Owned,NO,None,182,727,12130.42,0.39,4,4,62172.04,175786.08,27188.42,Home,41800.42,0.34,MEDIUM
cust_104,nida_1104,54,YES,Post-Graduate,0,Unemployed,Not Applicable,59750.05,Rented,NO,Car,81,531,7110.76,0.36,2,4,21293.43,71251.24,37831.74,Home,123221.68,0.38,MEDIUM
cust_105,nida_1105,45,YES,Undergraduate,3,Employed,Unemployed,37406.8,Owned,NO,Car,132,694,4464.67,0.38,5,1,6978.82,175643.16,98078.78,Personal,127963.7,0.1,MEDIUM
cust_106,nida_1106,51,YES,Undergraduate,2,Unemployed,Unemployed,145488.89,Rented,YES,Motorcycle,148,628,39284.93,0.83,2,4,52632.55,179860.68,41608.81,Home,210488.65,0.32,LOW
cust_107,nida_1107,26,NO,Post-Graduate,4,Unemployed,Employed,105061.45,Owned,NO,Car,22,560,10502.21,0.3,0,4,39239.98,3535.5,47278.75,Education,27091.87,0.39,MEDIUM
cust_108,nida_1108,60,YES,Graduate,2,Unemployed,Employed,41846.31,Owned,YES,Motorcycle,181,396,11696.94,0.51,0,3,5167.92,40412.31,37125.68,Education,27958.81,0.36,HIGH
cust_109,nida_1109,58,NO,Undergraduate,2,Self-Employed,Unemployed,35932.67,Owned,YES,Car,60,323,46729.69,0.13,2,4,65086.57,155507.52,20794.03,Home,221170.63,0.26,HIGH
cust_110,nida_1110,47,YES,Graduate,2,Employed,Not Applicable,54494.46,Owned,YES,Motorcycle,115,814,33895.67,0.19,7,0,73491.9,33632.49,43269.31,Personal,7421.45,0.44,MEDIUM
cust_111,nida_1111,27,YES,Post-Graduate,0,Self-Employed,Unemployed,58726.85,Owned,NO,None,118,809,49780.11,0.8,5,3,40225.08,27696.04,41029.02,Business,119963.2,0.21,MEDIUM
cust_112,nida_1112,46,YES,Graduate,3,Unemployed,Employed,119233.06,Owned,NO,None,109,681,4226.76,0.46,1,2,15936.58,143025.67,11038.87,Education,217011.65,0.47,MEDIUM
cust_113,nida_1113,62,YES,Post-Graduate,4,Employed,Unemployed,122941.69,Rented,NO,None,15,753,47464.39,0.35,9,2,49827.18,107726.85,60991.03,Business,242149.38,0.25,LOW
cust_114,nida_1114,56,YES,Graduate,1,Self-Employed,Unemployed,133300.39,Rented,YES,None,150,700,48467.22,0.8,1,1,55089.43,3325.5,72208.51,Business,215645.13,0.33,LOW
cust_115,nida_1115,43,NO,Undergraduate,4,Self-Employed,Not Applicable,80592.11,Rented,YES,Motorcycle,167,848,25027.15,0.23,7,3,43387.06,28309.36,93276.82,Education,128160.28,0.31,LOW
cust_116,nida_1116,58,YES,Undergraduate,1,Unemployed,Unemployed,81829.68,Owned,NO,Motorcycle,188,767,36003.8,0.72,7,4,56253.4,182891.06,78433.1,Home,204508.42,0.45,MEDIUM
cust_117,nida_1117,42,NO,Post-Graduate,0,Self-Employed,Unemployed,89826.87,Rented,YES,Car,167,404,34849.42,0.84,7,3,70562.26,62359.54,96149.41,Personal,87554.02,0.33,MEDIUM
cust_118,nida_1118,57,YES,Post-Graduate,4,Employed,Employed,22952.26,Rented,YES,Motorcycle,90,532,37699.87,0.47,1,3,45378.84,15112.85,17508.75,Education,124915.93,0.11,MEDIUM
cust_119,nida_1119,50,YES,Graduate,2,Employed,Unemployed,51564.45,Owned,YES,Motorcycle,40,556,38785.5,0.41,8,0,7430.53,91018.84,43421.96,Business,115265.57,0.25,MEDIUM
cust_120,nida_1120,30,NO,Post-Graduate,2,Employed,Employed,87410.02,Owned,YES,Motorcycle,127,458,16814.27,0.79,6,3,66429.68,192081.49,13665.8,Personal,91573.34,0.2,MEDIUM
cust_121,nida_1121,37,NO,Graduate,0,Unemployed,Employed,133048.5,Owned,YES,None,146,827,13419.32,0.11,1,3,53476.96,36557.02,92124.83,Personal,161212.39,0.14,LOW
cust_122,nida_1122,34,YES,Graduate,0,Self-Employed,Unemployed,49516.17,Owned,NO,Car,99,707,2939.08,0.19,9,1,24861.41,50119.24,17664.32,Business,89411.02,0.55,MEDIUM
cust_123,nida_1123,40,YES,Undergraduate,3,Unemployed,Not Applicable,147114.3,Owned,NO,Motorcycle,136,421,3361.43,0.57,3,0,11448.82,59170.15,23496.83,Home,172891.73,0.47,MEDIUM
cust_124,nida_1124,37,YES,Undergraduate,1,Unemployed,Unemployed,87353.41,Rented,NO,Car,6,526,32668.19,0.65,5,2,1278.2,100087.65,85033.26,Business,239090.69,0.5,MEDIUM
cust_125,nida_1125,40,YES,Post-Graduate,2,Employed,Not Applicable,128378.37,Owned,NO,Motorcycle,56,541,29565.18,0.26,7,0,56823.19,122272.75,54387.41,Business,76309.76,0.51,MEDIUM
cust_126,nida_1126,42,YES,Graduate,2,Unemployed,Unemployed,41493.6,Owned,NO,Car,37,631,27727.68,0.76,3,3,65887.39,73055.56,75261.94,Home,219639.19,0.21,MEDIUM
cust_127,nida_1127,49,YES,Post-Graduate,2,Employed,Employed,92929.94,Rented,YES,Motorcycle,34,763,39023.72,0.27,5,3,69404.43,18353.95,59674.28,Home,176724.3,0.24,LOW
cust_128,nida_1128,63,YES,Undergraduate,1,Employed,Employed,133975.55,Owned,YES,None,80,359,19516.87,0.31,0,4,63637.33,171684.8,12808.8,Personal,204468.43,0.37,MEDIUM
cust_129,nida_1129,50,YES,Post-Graduate,0,Unemployed,Unemployed,49930.59,Rented,YES,None,74,729,28314.66,0.58,1,0,34828.55,75424.02,98723.08,Business,189502.15,0.36,MEDIUM
cust_130,nida_1130,36,NO,Graduate,2,Unemployed,Employed,35176.09,Owned,YES,None,39,643,34508.31,0.52,2,1,8757.97,91619.97,10703.03,Education,82481.1,0.23,MEDIUM
cust_131,nida_1131,38,YES,Undergraduate,2,Employed,Not Applicable,52359.49,Rented,NO,Car,72,816,15400.51,0.25,7,2,24808.66,97592.85,31413.56,Home,76489.46,0.42,MEDIUM
cust_132,nida_1132,51,NO,Graduate,1,Self-Employed,Unemployed,107761.5,Owned,NO,Car,100,781,28594.64,0.38,7,0,8343.56,148477.76,5826.58,Home,158273.24,0.4,LOW
